qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
comp130941_c0_seq1,tr|A0A0L8GQ43|A0A0L8GQ43_OCTBM,100.0,144,0,0,1276,1707,1,144,3.99e-85,"265
"
comp132291_c0_seq2,tr|A0A0L8HEW4|A0A0L8HEW4_OCTBM,99.829,586,1,0,687,2444,1,586,0.0,"1132
"
comp133357_c0_seq2,tr|A0A0L8IAL6|A0A0L8IAL6_OCTBM,100.0,345,0,0,213,1247,1,345,0.0,"692
"
comp167079_c0_seq1,tr|A0A0L8H3Q2|A0A0L8H3Q2_OCTBM,100.0,188,0,0,43,606,1,188,2.96e-140,"392
"
comp134050_c0_seq1,tr|A0A0L8GDI6|A0A0L8GDI6_OCTBM,100.0,518,0,0,1546,3099,3,520,0.0,"1073
"
comp134050_c0_seq1,tr|A0A0L8FXB1|A0A0L8FXB1_OCTBM,100.0,140,0,0,576,157,547,686,7.02e-57,"209
"
comp134050_c0_seq1,tr|A0A0L8G9R1|A0A0L8G9R1_OCTBM,98.876,89,1,0,871,605,243,331,4.86e-10,"63.9
"
comp164498_c0_seq6,tr|A0A0L8I5S9|A0A0L8I5S9_OCTBM,99.62,526,0,2,132,1703,1,526,0.0,"972
"
comp144751_c0_seq2,tr|A0A0L8GEY6|A0A0L8GEY6_OCTBM,100.0,390,0,0,748,1917,1,390,0.0,"651
"
comp144751_c0_seq2,tr|A0A0L8GEY6|A0A0L8GEY6_OCTBM,95.876,97,4,0,1997,2287,384,480,0.0,"196
"
comp269257_c0_seq1,tr|A0A0L8HMM2|A0A0L8HMM2_OCTBM,100.0,178,0,0,448,981,1,178,4.5e-123,"365
"
comp269257_c0_seq1,tr|A0A0L8FIL9|A0A0L8FIL9_OCTBM,100.0,116,0,0,1759,2106,1,116,3.14e-58,"193
"
comp239534_c0_seq1,tr|A0A0L8GGB1|A0A0L8GGB1_OCTBM,100.0,519,0,0,241,1797,1,519,0.0,"1076
"
comp167192_c0_seq1,tr|A0A0L8GKL1|A0A0L8GKL1_OCTBM,100.0,180,0,0,469,1008,1,180,2.11e-111,"338
"
comp193490_c0_seq1,tr|A0A0L8FYR4|A0A0L8FYR4_OCTBM,100.0,470,0,0,2,1411,1745,2214,0.0,"909
"
comp150749_c0_seq1,tr|A0A0L8FZT7|A0A0L8FZT7_OCTBM,100.0,521,0,0,605,2167,1,521,0.0,"984
"
comp219423_c0_seq1,tr|A0A0L8H0D1|A0A0L8H0D1_OCTBM,100.0,129,0,0,108,494,18,146,3.58e-92,"264
"
comp145891_c0_seq2,tr|A0A0L8G986|A0A0L8G986_OCTBM,97.843,510,9,1,339,1868,42,549,0.0,"1019
"
comp145891_c0_seq2,tr|A0A0L8G9Q8|A0A0L8G9Q8_OCTBM,100.0,63,0,0,40,228,1,63,1.01e-22,"91.7
"
comp164708_c1_seq2,tr|A0A0L8I617|A0A0L8I617_OCTBM,98.519,135,2,0,69,473,1,135,4.52e-92,"270
"
comp142967_c0_seq1,tr|A0A0L8I659|A0A0L8I659_OCTBM,99.794,486,0,1,1022,2476,1,486,0.0,"963
"
comp142967_c0_seq1,tr|A0A0L8FYY5|A0A0L8FYY5_OCTBM,100.0,202,0,0,413,1018,1,202,2.39e-143,"427
"
comp177562_c0_seq1,tr|A0A0L8GI85|A0A0L8GI85_OCTBM,100.0,834,0,0,206,2707,1,834,0.0,"1415
"
comp152055_c0_seq2,tr|A0A0L8FYL4|A0A0L8FYL4_OCTBM,100.0,454,0,0,4042,5403,1,454,0.0,"947
"
comp152055_c0_seq2,tr|A0A0L8FVQ0|A0A0L8FVQ0_OCTBM,100.0,422,0,0,1195,2460,1,422,0.0,"805
"
comp152055_c0_seq2,tr|A0A0L8G0J4|A0A0L8G0J4_OCTBM,100.0,57,0,0,742,912,1,57,4.77e-32,"119
"
comp152055_c0_seq2,tr|A0A0L8FG55|A0A0L8FG55_OCTBM,100.0,54,0,0,928,1089,1,54,5.02e-29,"110
"
comp967930_c0_seq1,tr|A0A0L8I4T3|A0A0L8I4T3_OCTBM,100.0,86,0,0,54,311,1,86,8.62e-57,"178
"
comp84312_c0_seq1,tr|A0A0L8IDH2|A0A0L8IDH2_OCTBM,100.0,468,0,0,315,1718,1,468,0.0,"910
"
comp83402_c0_seq1,tr|A0A0L8I4E8|A0A0L8I4E8_OCTBM,100.0,268,0,0,210,1013,1,268,0.0,"530
"
comp140629_c0_seq1,tr|A0A0L8FP69|A0A0L8FP69_OCTBM,100.0,442,0,0,113,1438,1,442,0.0,"877
"
comp161979_c0_seq2,tr|A0A0L8HSI8|A0A0L8HSI8_OCTBM,100.0,710,0,0,1197,3326,1,710,0.0,"1489
"
comp161979_c0_seq2,tr|A0A0L8FPP0|A0A0L8FPP0_OCTBM,100.0,448,0,0,6167,7510,1,448,0.0,"771
"
comp161979_c0_seq2,tr|A0A0L8G218|A0A0L8G218_OCTBM,96.61,59,2,0,245,421,1,59,8.63e-32,"119
"
comp162827_c0_seq27,tr|A0A0L8GFJ2|A0A0L8GFJ2_OCTBM,100.0,369,0,0,678,1784,183,551,0.0,"665
"
comp162827_c0_seq27,tr|A0A0L8GFJ2|A0A0L8GFJ2_OCTBM,100.0,179,0,0,116,652,4,182,0.0,"345
"
comp106269_c0_seq1,tr|A0A0L8GKT9|A0A0L8GKT9_OCTBM,100.0,361,0,0,732,1814,1,361,0.0,"655
"
comp1496746_c0_seq1,tr|A0A0L8GUC9|A0A0L8GUC9_OCTBM,100.0,165,0,0,28,522,134,298,3.81e-107,"310
"
comp164705_c0_seq3,tr|A0A0L8FWD7|A0A0L8FWD7_OCTBM,96.388,526,2,1,1672,3249,1,509,0.0,"1017
"
comp164705_c0_seq3,tr|A0A0L8FVI9|A0A0L8FVI9_OCTBM,95.238,294,13,1,733,1614,1,293,9.6e-128,"401
"
comp188852_c0_seq1,tr|A0A0L8GHM2|A0A0L8GHM2_OCTBM,100.0,368,0,0,584,1687,1,368,0.0,"713
"
comp55188_c0_seq1,tr|A0A0L8HZ58|A0A0L8HZ58_OCTBM,100.0,157,0,0,94,564,1,157,1.18e-87,"270
"
comp162693_c0_seq1,tr|A0A0L8I3Z0|A0A0L8I3Z0_OCTBM,100.0,476,0,0,2131,704,1,476,0.0,"989
"
comp162693_c0_seq1,tr|A0A0L8I3K7|A0A0L8I3K7_OCTBM,100.0,222,0,0,2259,2924,1,222,2.45e-129,"395
"
comp101552_c0_seq1,tr|A0A0L8HG98|A0A0L8HG98_OCTBM,100.0,646,0,0,1384,3321,782,1427,0.0,"1049
"
comp101552_c0_seq1,tr|A0A0L8HG98|A0A0L8HG98_OCTBM,100.0,364,0,0,70,1161,344,707,2.41e-177,"560
"
comp147147_c0_seq5,tr|A0A0L8GM30|A0A0L8GM30_OCTBM,100.0,83,0,0,132,380,1,83,2.96e-51,"176
"
comp144965_c0_seq1,tr|A0A0L8GUA3|A0A0L8GUA3_OCTBM,100.0,333,0,0,284,1282,1,333,0.0,"525
"
comp160386_c0_seq7,tr|A0A0L8FIR2|A0A0L8FIR2_OCTBM,100.0,1003,0,0,1222,4230,1,1003,0.0,"1946
"
comp103324_c0_seq1,tr|A0A0L8FX87|A0A0L8FX87_OCTBM,100.0,772,0,0,454,2769,1,772,0.0,"1517
"
comp198498_c0_seq1,tr|A0A0L8H4U9|A0A0L8H4U9_OCTBM,95.506,89,4,0,2,268,84,172,8.81e-54,"170
"
comp104049_c0_seq1,tr|A0A0L8I9M4|A0A0L8I9M4_OCTBM,100.0,536,0,0,241,1848,1,536,0.0,"1122
"
comp133286_c0_seq1,tr|A0A0L8HEJ1|A0A0L8HEJ1_OCTBM,100.0,712,0,0,489,2624,3,714,0.0,"1479
"
comp133286_c0_seq1,tr|A0A0L8HDJ0|A0A0L8HDJ0_OCTBM,100.0,449,0,0,2751,4097,3,451,0.0,"843
"
comp150062_c0_seq1,tr|A0A0L8H4X4|A0A0L8H4X4_OCTBM,99.701,334,1,0,375,1376,1,334,0.0,"563
"
