target name,accession,tlen,query name,accession,qlen,E-value,score,bias,#,of,c-Evalue,i-Evalue,score,bias,hmm from,hmm to,ali from,ali to,env from,env to,acc,description of target
Cadherin,PF00028.21,93,A0A411DYX8,-,567,5.50E-60,200,0.5,1,5,0.00032,1.1,9.9,0,29,68,60,101,28,119,0.85,Cadherin domain
Cadherin,PF00028.21,93,A0A411DYX8,-,567,5.50E-60,200,0.5,2,5,1.30E-15,4.40E-12,46.4,0,18,93,160,241,144,241,0.92,Cadherin domain
Cadherin,PF00028.21,93,A0A411DYX8,-,567,5.50E-60,200,0.5,3,5,9.40E-19,3.30E-15,56.5,0,1,93,255,349,255,349,0.96,Cadherin domain
Cadherin,PF00028.21,93,A0A411DYX8,-,567,5.50E-60,200,0.5,4,5,3.00E-11,1.10E-07,32.4,0,2,92,370,458,369,459,0.91,Cadherin domain
Cadherin,PF00028.21,93,A0A411DYX8,-,567,5.50E-60,200,0.5,5,5,2.90E-16,9.90E-13,48.5,0,6,92,478,563,473,564,0.92,Cadherin domain
Cadherin_3,PF16184.9,111,A0A411DYX8,-,567,1.40E-08,34.9,0.8,1,3,0.0022,7.7,6.7,0.1,6,58,123,178,120,193,0.84,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DYX8,-,567,1.40E-08,34.9,0.8,2,3,4.70E-07,0.0016,18.5,0,5,57,234,288,230,320,0.83,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DYX8,-,567,1.40E-08,34.9,0.8,3,3,0.0036,12,6,0,3,61,450,510,448,552,0.84,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DYX8,-,567,8.30E-08,32.2,2.3,1,5,4.80E-09,1.70E-05,24.8,0.1,4,81,29,112,26,114,0.75,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DYX8,-,567,8.30E-08,32.2,2.3,2,5,0.76,2.60E+03,-1.5,0,55,65,202,212,197,213,0.83,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DYX8,-,567,8.30E-08,32.2,2.3,3,5,0.055,1.90E+02,2.2,0,39,59,294,314,263,322,0.88,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DYX8,-,567,8.30E-08,32.2,2.3,4,5,0.8,2.80E+03,-1.5,0,51,64,416,429,400,431,0.76,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DYX8,-,567,8.30E-08,32.2,2.3,5,5,0.27,9.20E+02,0,0,42,66,511,536,506,547,0.72,Cadherin-like
Sde0182_C,PF21027.1,83,A0A411DYX8,-,567,0.0051,17.6,0,1,3,0.0012,4.1,8.3,0,47,83,313,348,270,348,0.69,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DYX8,-,567,0.0051,17.6,0,2,3,0.13,4.40E+02,1.8,0,43,77,418,452,404,458,0.82,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DYX8,-,567,0.0051,17.6,0,3,3,0.071,2.50E+02,2.6,0,63,83,543,563,517,563,0.83,"Cellulose-binding protein Sde0182, C-terminal domain"
DUF2114,PF09887.13,449,A0A411DYX8,-,567,0.025,13.3,0,1,1,1.20E-05,0.041,12.6,0,72,113,343,384,336,400,0.82,Uncharacterized protein conserved in archaea (DUF2114)
GAPES2,PF17156.8,204,A0A411DYX8,-,567,0.082,12.9,0,1,1,5.40E-05,0.19,11.7,0,125,171,52,96,13,109,0.86,Gammaproteobacterial periplasmic sensor domain
Cadherin,PF00028.21,93,A0A411DZ00,-,601,1.10E-58,195.8,1.8,1,6,3.30E-08,0.00017,22.1,0,4,71,23,97,20,119,0.89,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ00,-,601,1.10E-58,195.8,1.8,2,6,2.90E-13,1.50E-09,38.3,0,7,92,142,234,137,235,0.88,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ00,-,601,1.10E-58,195.8,1.8,3,6,3.10E-18,1.60E-14,54.3,0,1,92,249,342,249,343,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ00,-,601,1.10E-58,195.8,1.8,4,6,1.90E-10,9.80E-07,29.3,0,3,92,365,452,363,453,0.93,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ00,-,601,1.10E-58,195.8,1.8,5,6,9.80E-16,5.10E-12,46.2,0,6,92,472,557,467,558,0.93,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ00,-,601,1.10E-58,195.8,1.8,6,6,1,5.30E+03,-1.9,0,11,25,585,599,581,600,0.79,Cadherin domain
Cadherin_3,PF16184.9,111,A0A411DZ00,-,601,7.10E-10,39,8.8,1,4,0.00058,3,8,0.1,6,58,116,171,113,186,0.86,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ00,-,601,7.10E-10,39,8.8,2,4,2.40E-07,0.0013,18.9,0.2,5,61,228,286,224,305,0.84,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ00,-,601,7.10E-10,39,8.8,3,4,3.20E-05,0.17,12.1,0,4,57,445,500,443,508,0.83,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ00,-,601,7.10E-10,39,8.8,4,4,0.059,3.10E+02,1.6,0.3,5,49,551,599,548,601,0.78,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ00,-,601,1.90E-07,31,0.2,1,4,4.90E-08,0.00025,21,0,3,81,21,105,19,107,0.75,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ00,-,601,1.90E-07,31,0.2,2,4,0.6,3.10E+03,-1.7,0,55,64,196,205,185,206,0.79,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ00,-,601,1.90E-07,31,0.2,3,4,0.012,62,3.7,0,39,60,288,309,263,311,0.85,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ00,-,601,1.90E-07,31,0.2,4,4,0.15,7.80E+02,0.2,0,43,64,402,423,368,425,0.74,Cadherin-like
DUF4529,PF15032.10,406,A0A411DZ00,-,601,0.2,10.9,0,1,1,7.60E-05,0.4,9.9,0,309,369,496,557,486,568,0.79,Protein of unknown function (DUF4529)
Cadherin,PF00028.21,93,A0A411DZ04,-,646,4.90E-66,219.4,4.4,1,6,1.40E-05,0.074,13.7,0,5,68,37,105,34,131,0.79,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ04,-,646,4.90E-66,219.4,4.4,2,6,3.70E-12,1.90E-08,34.8,0,11,92,157,244,150,245,0.91,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ04,-,646,4.90E-66,219.4,4.4,3,6,2.70E-17,1.40E-13,51.2,0,1,92,259,352,259,353,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ04,-,646,4.90E-66,219.4,4.4,4,6,7.00E-15,3.60E-11,43.5,0,2,92,374,462,373,463,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ04,-,646,4.90E-66,219.4,4.4,5,6,1.20E-17,6.40E-14,52.3,0,6,92,482,566,477,567,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ04,-,646,4.90E-66,219.4,4.4,6,6,1.50E-07,0.00079,20,0,13,58,596,641,591,644,0.91,Cadherin domain
Cadherin_2,PF08266.16,83,A0A411DZ04,-,646,1.20E-11,44.5,1.1,1,5,1.30E-11,6.80E-08,32.5,0,3,82,34,117,32,118,0.75,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ04,-,646,1.20E-11,44.5,1.1,2,5,0.33,1.70E+03,-0.9,0,55,64,206,215,168,216,0.82,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ04,-,646,1.20E-11,44.5,1.1,3,5,0.84,4.40E+03,-2.2,0,42,56,301,315,294,318,0.82,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ04,-,646,1.20E-11,44.5,1.1,4,5,0.0064,33,4.6,0,39,65,408,434,375,438,0.77,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ04,-,646,1.20E-11,44.5,1.1,5,5,0.079,4.10E+02,1.1,0,37,60,618,641,609,644,0.84,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ04,-,646,5.30E-08,33,8.5,1,5,0.3,1.60E+03,-0.7,0,52,90,66,101,55,113,0.79,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ04,-,646,5.30E-08,33,8.5,2,5,0.014,75,3.5,0,6,32,127,154,124,197,0.71,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ04,-,646,5.30E-08,33,8.5,3,5,2.20E-05,0.12,12.6,0.2,6,60,239,295,234,311,0.83,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ04,-,646,5.30E-08,33,8.5,4,5,5.60E-05,0.29,11.3,0,3,59,454,512,452,524,0.86,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ04,-,646,5.30E-08,33,8.5,5,5,0.0021,11,6.2,0,6,64,561,624,557,641,0.76,Cadherin-like
Sde0182_C,PF21027.1,83,A0A411DZ04,-,646,0.0023,18.7,0.4,1,3,0.0018,9.2,7.1,0,32,75,303,344,274,352,0.74,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ04,-,646,0.0023,18.7,0.4,2,3,0.048,2.50E+02,2.5,0,35,82,416,461,402,462,0.73,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ04,-,646,0.0023,18.7,0.4,3,3,0.011,60,4.5,0.1,63,83,546,566,530,566,0.88,"Cellulose-binding protein Sde0182, C-terminal domain"
Cadherin,PF00028.21,93,A0A411DZ06,-,858,8.30E-68,225.1,0.8,1,6,0.004,12,6.6,0,5,68,27,98,24,108,0.7,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ06,-,858,8.30E-68,225.1,0.8,2,6,1.90E-13,5.70E-10,39.7,0,3,92,142,237,140,238,0.91,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ06,-,858,8.30E-68,225.1,0.8,3,6,2.80E-14,8.30E-11,42.4,0,1,92,252,345,252,346,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ06,-,858,8.30E-68,225.1,0.8,4,6,1.80E-11,5.30E-08,33.4,0,2,93,367,456,366,456,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ06,-,858,8.30E-68,225.1,0.8,5,6,1.00E-17,3.00E-14,53.4,0,6,92,475,560,470,561,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ06,-,858,8.30E-68,225.1,0.8,6,6,3.60E-14,1.10E-10,42,0,14,91,591,667,586,669,0.94,Cadherin domain
Cadherin_2,PF08266.16,83,A0A411DZ06,-,858,2.10E-10,40.5,0.2,1,4,4.90E-09,1.40E-05,25,0,3,79,24,107,22,111,0.74,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ06,-,858,2.10E-10,40.5,0.2,2,4,0.01,30,4.8,0,39,58,291,310,266,313,0.87,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ06,-,858,2.10E-10,40.5,0.2,3,4,0.018,52,4,0,5,65,369,427,367,428,0.72,Cadherin-like
Cadherin_2,PF08266.16,83,A0A411DZ06,-,858,2.10E-10,40.5,0.2,4,4,0.99,2.90E+03,-1.6,0,37,57,612,632,606,636,0.81,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ06,-,858,6.40E-08,32.7,6.2,1,4,0.2,6.00E+02,0.6,0.1,6,33,120,148,117,186,0.64,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ06,-,858,6.40E-08,32.7,6.2,2,4,4.60E-06,0.014,15.6,0.2,6,58,232,286,227,307,0.84,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ06,-,858,6.40E-08,32.7,6.2,3,4,9.50E-05,0.28,11.3,0,5,56,449,502,446,539,0.86,Cadherin-like
Cadherin_3,PF16184.9,111,A0A411DZ06,-,858,6.40E-08,32.7,6.2,4,4,0.015,45,4.2,0,7,62,556,616,551,640,0.74,Cadherin-like
Sde0182_C,PF21027.1,83,A0A411DZ06,-,858,0.002,18.9,0,1,5,2.2,6.60E+03,-2,0,33,79,139,191,133,191,0.65,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ06,-,858,0.002,18.9,0,2,5,0.18,5.40E+02,1.5,0,56,82,318,344,268,345,0.68,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ06,-,858,0.002,18.9,0,3,5,0.017,50,4.8,0,47,81,419,453,398,455,0.75,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ06,-,858,0.002,18.9,0,4,5,0.0098,29,5.5,0,53,83,530,560,488,560,0.81,"Cellulose-binding protein Sde0182, C-terminal domain"
Sde0182_C,PF21027.1,83,A0A411DZ06,-,858,0.002,18.9,0,5,5,0.93,2.80E+03,-0.8,0,57,74,642,659,596,678,0.76,"Cellulose-binding protein Sde0182, C-terminal domain"
Cadherin_4,PF17803.5,71,A0A411DZ06,-,858,0.0054,17.4,7.4,1,4,0.0033,9.7,7,0.1,3,45,233,277,232,305,0.78,Bacterial cadherin-like domain
Cadherin_4,PF17803.5,71,A0A411DZ06,-,858,0.0054,17.4,7.4,2,4,0.24,7.20E+02,1,0.3,8,30,347,370,339,396,0.63,Bacterial cadherin-like domain
Cadherin_4,PF17803.5,71,A0A411DZ06,-,858,0.0054,17.4,7.4,3,4,0.00028,0.82,10.4,0.1,3,50,451,503,449,520,0.81,Bacterial cadherin-like domain
Cadherin_4,PF17803.5,71,A0A411DZ06,-,858,0.0054,17.4,7.4,4,4,2,6.00E+03,-1.9,0,35,68,595,629,587,634,0.6,Bacterial cadherin-like domain
Rieske_3,PF18465.5,96,A0A411DZ06,-,858,0.087,13.3,0.1,1,1,0.0001,0.3,11.6,0.1,17,70,218,273,211,282,0.84,Rieske 3Fe-4S
Cadherin_C_2,PF16492.9,85,A0A411DZ06,-,858,0.19,12.6,2.8,1,3,0.053,1.60E+02,3.3,0,21,63,266,308,264,330,0.85,Cadherin cytoplasmic C-terminal
Cadherin_C_2,PF16492.9,85,A0A411DZ06,-,858,0.19,12.6,2.8,2,3,0.0046,14,6.7,0.4,10,64,700,747,692,759,0.59,Cadherin cytoplasmic C-terminal
Cadherin_C_2,PF16492.9,85,A0A411DZ06,-,858,0.19,12.6,2.8,3,3,0.68,2.00E+03,-0.3,0.2,44,74,801,830,780,836,0.56,Cadherin cytoplasmic C-terminal
Cadherin,PF00028.21,93,A0A411DZ07,-,635,2.80E-66,220.2,2.5,1,6,0.00027,0.79,10.4,0,26,68,51,95,21,112,0.8,Cadherin domain
Cadherin,PF00028.21,93,A0A411DZ07,-,635,2.80E-66,220.2,2.5,2,6,8.40E-14,2.50E-10,40.8,0,4,93,140,235,137,235,0.91,Cadherin domain
